[03:51:46] [INFO] received Windows console close event; shutting log-core down
[03:53:43] [INFO] received Windows console close event; shutting log-core down
[03:55:47] [INFO] received Windows console close event; shutting log-core down
[04:06:42] [INFO] received Windows console close event; shutting log-core down
[04:15:36] [INFO] received Windows console close event; shutting log-core down
[04:19:59] [INFO] received Windows console close event; shutting log-core down
[04:28:11] [INFO] received Windows console close event; shutting log-core down
[04:30:25] [INFO] received Windows console close event; shutting log-core down
[04:33:14] [INFO] received Windows console close event; shutting log-core down
[04:36:12] [INFO] received Windows console close event; shutting log-core down
[04:40:04] [INFO] received Windows console close event; shutting log-core down
[04:41:40] [INFO] received Windows console close event; shutting log-core down
[04:45:15] [INFO] received Windows console close event; shutting log-core down
[04:47:27] [INFO] received Windows console close event; shutting log-core down
[04:50:23] [INFO] received Windows console close event; shutting log-core down
[04:57:21] [INFO] received Windows console close event; shutting log-core down
[04:58:39] [INFO] received Windows console close event; shutting log-core down
[05:07:29] [INFO] received Windows console close event; shutting log-core down
[05:16:33] [INFO] received Windows console close event; shutting log-core down
[05:25:51] [INFO] received Windows console close event; shutting log-core down
[05:28:31] [INFO] received Windows console close event; shutting log-core down
[05:30:59] [INFO] received Windows console close event; shutting log-core down
[05:34:10] [INFO] received Windows console close event; shutting log-core down
[05:35:55] [INFO] received Windows console close event; shutting log-core down
[05:37:27] [INFO] received Windows console close event; shutting log-core down
[05:40:31] [INFO] received Windows console close event; shutting log-core down
[05:43:09] [INFO] received Windows console close event; shutting log-core down
[05:46:04] [INFO] received Windows console close event; shutting log-core down
[05:52:06] [INFO] received Windows console close event; shutting log-core down
[05:54:16] [INFO] received Windows console close event; shutting log-core down
[05:56:25] [INFO] received Windows console close event; shutting log-core down
[05:59:41] [INFO] received Windows console close event; shutting log-core down
[06:03:20] [INFO] received Windows console close event; shutting log-core down
[06:04:56] [INFO] received Windows console close event; shutting log-core down
[06:07:32] [INFO] received Windows console close event; shutting log-core down
[22:28:05] [INFO] received Windows console close event; shutting log-core down
[22:32:18] [INFO] received Windows console close event; shutting log-core down
[22:47:18] [INFO] received Windows console close event; shutting log-core down
[22:56:29] [INFO] received Windows console close event; shutting log-core down
[22:57:30] [INFO] received Windows console close event; shutting log-core down
[22:58:48] [INFO] received Windows console close event; shutting log-core down
[23:00:31] [INFO] received Windows console close event; shutting log-core down
[23:03:33] [INFO] received Windows console close event; shutting log-core down
[23:07:25] [INFO] received Windows console close event; shutting log-core down
[23:08:51] [INFO] received Windows console close event; shutting log-core down
[23:10:24] [INFO] received Windows console close event; shutting log-core down
[23:13:38] [INFO] received Windows console close event; shutting log-core down
[23:19:32] [INFO] received Windows console close event; shutting log-core down
[23:21:05] [INFO] received Windows console close event; shutting log-core down
[00:00:03] [INFO] received Windows console close event; shutting log-core down
[00:15:33] [INFO] received Windows console close event; shutting log-core down
[00:51:42] [INFO] received Windows console close event; shutting log-core down
[01:52:32] [INFO] received Windows console close event; shutting log-core down
[01:57:10] [INFO] received Windows console close event; shutting log-core down
[02:01:24] [INFO] received Windows console close event; shutting log-core down
[02:04:44] [INFO] received Windows console close event; shutting log-core down
[02:08:06] [INFO] received Windows console close event; shutting log-core down
[02:11:48] [INFO] received Windows console close event; shutting log-core down
[02:13:02] [INFO] received Windows console close event; shutting log-core down
[02:21:04] [INFO] received Windows console close event; shutting log-core down
[02:29:49] [INFO] received Windows console close event; shutting log-core down
[02:36:15] [INFO] received Windows console close event; shutting log-core down
[02:37:57] [INFO] received Windows console close event; shutting log-core down
[02:39:27] [INFO] received Windows console close event; shutting log-core down
[02:44:25] [INFO] received Windows console close event; shutting log-core down
[02:48:40] [INFO] received Windows console close event; shutting log-core down
[02:50:34] [INFO] received Windows console close event; shutting log-core down
[21:56:46] [INFO] received Windows console close event; shutting log-core down
[22:08:19] [INFO] received Windows console close event; shutting log-core down
[22:12:10] [INFO] received Windows console close event; shutting log-core down
[22:15:04] [INFO] received Windows console close event; shutting log-core down
[22:16:30] [INFO] received Windows console close event; shutting log-core down
[22:22:57] [INFO] received Windows console close event; shutting log-core down
[22:26:10] [INFO] received Windows console close event; shutting log-core down
[22:27:21] [INFO] received Windows console close event; shutting log-core down
